Artist,Title,Week(s) in Charts,Peak,Week
The Lumineers,Ho Hey,42,7,2014-01-05
The Kid Laroi,Without You,21,10,2021-05-02
The Ian Carey Project,Get Shaky,1,59,2010-06-27
The Cratez| Luciano & Kontra K,Himmel grau,2,30,2019-12-22
The Cratez & Bonez MC,Honda Civic,10,4,2019-12-08
The Cranberries,Zombie,31,2,2018-01-28
The Cranberries,Dreams,1,77,2018-01-21
The Common Linnets,Calm After The Storm,21,3,2014-11-16
The Chemical Brothers,Go,1,73,2015-08-02
The Chainsmokers feat. XYLØ,Setting Fires,4,73,2016-12-04
The Chainsmokers feat. Winona Oak,Hope,4,71,2019-02-17
The Chainsmokers feat. Rozes,Roses,28,20,2016-07-10
The Chainsmokers feat. Phoebe Ryan,All We Know,15,32,2017-01-15
The Chainsmokers feat. Kelsea Ballerini,This Feeling,3,88,2018-10-21
The Chainsmokers feat. Halsey,Closer,37,5,2017-05-07
The Chainsmokers feat. Emily Warren,Side Effects,1,92,2018-08-05
The Chainsmokers feat. Drew Love,Somebody,1,91,2018-04-29
The Chainsmokers feat. Daya,Don't Let Me Down,51,8,2017-02-26
The Chainsmokers feat. Bebe Rexha,Call You Mine,9,42,2019-08-11
The Chainsmokers feat. 5 Seconds Of Summer,Who Do You Love,3,43,2019-03-03
The Chainsmokers + Kygo,Family,1,51,2019-12-15
The Chainsmokers & Illenium feat. Lennon Stella,Takeaway,19,36,2020-04-19
The Chainsmokers & Coldplay,Something Just Like This,58,3,2018-04-08
The Chainsmokers,You Owe Me,1,93,2018-02-25
The Chainsmokers,The One,3,36,2017-04-30
The Chainsmokers,Sick Boy,15,32,2018-05-06
The Chainsmokers,Paris,21,8,2017-06-11
The Chainsmokers,Everybody Hates Me,2,68,2018-04-01
The Chainsmokers,Beach House,1,93,2018-11-25
The Chainsmokers,#SELFIE,6,33,2014-04-27
The Carters,Apeshit,5,69,2018-07-22
The BossHoss feat. The Common Linnets,Jolene,4,29,2016-03-06
The BossHoss feat. Mimi & Josy,Little Help,1,41,2019-05-12
The BossHoss,Don't Gimme That,10,49,2013-11-10
The BossHoss,Do It,8,36,2013-12-22
The Black Eyed Peas feat. The World,#Wheresthelove,1,41,2016-09-11
